Country,Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Sweden,Oskarshamn,1,BWR,ASEA-I,Shut down/in decommissioning,473,1966,1972,2017
Sweden,Oskarshamn,2,BWR,ASEA-II,Shut down/in decommissioning,638,1969,1975,2016
Sweden,Oskarshamn,3,BWR,"ASEA-IV, BWR-3000",Operational,1450,1980,1985,
Sweden,Marviken,1,BHWR,R4,Unfinished,196,1965,,1970
Sweden,Ringhals,1,BWR,ASEA-I,Shut down/in decommissioning,881,1969,1976,2020
Sweden,Ringhals,2,PWR,WH 3-loops,Shut down/in decommissioning,904,1970,1975,2019
Sweden,Ringhals,3,PWR,WH 3-loops,Operational,1062,1972,1981,
Sweden,Ringhals,4,PWR,WH 3-loops,Operational,1104,1973,1983,
Switzerland,Beznau,1,PWR,WH 2-loops,Operational,365,1965,1969,
Switzerland,Beznau,2,PWR,WH 2-loops,Operational,365,1968,1971,
Switzerland,Gösgen,1,PWR,KWU 3-loops,Operational,1010,1973,1979,
Switzerland,Leibstadt,1,BWR,BWR-6,Operational,1220,1974,1984,
Switzerland,Lucens,1,HWGCR,HWGCR,Decommissioned,6,1962,1966,1969
Switzerland,Mühleberg,1,BWR,BWR-4,Shut down/in decommissioning,373,1967,1972,2019
Taiwan,Jinshan,1,BWR,BWR-4,Shut down/in decommissioning,636,1972,1978,2018
Taiwan,Jinshan,2,BWR,BWR-4,Shut down/in decommissioning,636,1973,1979,2018
Taiwan,Kuosheng,1,BWR,BWR-6,Shut down,985,1975,1981,2021
Taiwan,Kuosheng,2,BWR,BWR-6,Shut down,985,1976,1983,2023
Taiwan,Lungmen,1,BWR,ABWR,Unfinished,1350,1999,,2014
Taiwan,Lungmen,2,BWR,ABWR,Unfinished,1350,1999,,2014
Taiwan,Maanshan,1,PWR,WH 312 3-loop,Operational,951,1978,1984,
Taiwan,Maanshan,2,PWR,WH 312 3-loop,Operational,951,1979,1985,
Turkey,Akkuyu,1,PWR,VVER-1200/V-509,Under construction,1114,2018,,
Turkey,Akkuyu,2,PWR,VVER-1200/V-509,Under construction,1114,2020,,
Turkey,Akkuyu,3,PWR,VVER-1200/V-509,Under construction,1114,2021,,
Turkey,Akkuyu,4,PWR,VVER-1200/V-509,Under construction,1114,2022,,
Turkey,Sinop,1,PWR,Atmea-1,Cancelled,1100,,,
Turkey,Sinop,2,PWR,Atmea-1,Cancelled,1100,,,
Turkey,Sinop,3,PWR,Atmea-1,Cancelled,1100,,,
Turkey,Sinop,4,PWR,Atmea-1,Cancelled,1100,,,
Ukraine,Chernobyl,1,LWGR,RBMK-1000,Shut down/in decommissioning,740,1970,1978,1996
Ukraine,Chernobyl,2,LWGR,RBMK-1000,Shut down/in decommissioning,925,1973,1979,1991
Ukraine,Chernobyl,3,LWGR,RBMK-1000,Shut down/in decommissioning,925,1976,1982,2000
Ukraine,Chernobyl,4,LWGR,RBMK-1000,Destroyed,925,1979,1984,1986
Ukraine,Chernobyl,5,LWGR,RBMK-1000,Unfinished,925,,,
Ukraine,Chernobyl,6,LWGR,RBMK-1000,Unfinished,925,,,
Ukraine,Chyhyryn,1,PWR,AP1000,Planned,1100,,,
Ukraine,Chyhyryn,2,PWR,AP1000,Planned,1100,,,
Ukraine,Crimean,1,PWR,VVER-1000,Unfinished,950,1984,,1987
Ukraine,Crimean,2,PWR,VVER-1000,Unfinished,950,1984,,1987
Ukraine,Kharkiv,1,PWR,VVER-1000,Unfinished,900,1988,,1990
Ukraine,Kharkiv,2,PWR,VVER-1000,Unfinished,900,1988,,1990
Ukraine,Khmelnytskyi,1,PWR,VVER-1000/V-320,Operational,950,1981,1988,
Ukraine,Khmelnytskyi,2,PWR,VVER-1000/V-320,Operational,950,1985,2005,
Ukraine,Khmelnytskyi,3,PWR,VVER-1000,Under construction,950,1985,,
Ukraine,Khmelnytskyi,4,PWR,VVER-1000,Under construction,950,1986,,
Ukraine,Khmelnytskyi,5,PWR,AP1000,Planned,1100,,,
Ukraine,Khmelnytskyi,6,PWR,AP1000,Planned,1100,,,
Ukraine,Odesa,1,PWR,VVER-1000,Unfinished,900,,,1989
Ukraine,Odesa,2,PWR,VVER-1000,Unfinished,900,,,1989
Ukraine,Rivne,1,PWR,VVER-440/V-213,Operational,381,1973,1981,
Ukraine,Rivne,2,PWR,VVER-440/V-213,Operational,376,1973,1982,
Ukraine,Rivne,3,PWR,VVER-1000/V-320,Operational,950,1980,1987,
Ukraine,Rivne,4,PWR,VVER-1000/V-320,Operational,950,1986,2006,
Ukraine,Rivne,5,PWR,AP1000,Planned,1100,,,
Ukraine,South Ukraine,1,PWR,VVER-1000/V-302,Operational,950,1976,1983,
Ukraine,South Ukraine,2,PWR,VVER-1000/V-338,Operational,950,1981,1985,
Ukraine,South Ukraine,3,PWR,VVER-1000/V-320,Operational,950,1984,1989,
Ukraine,South Ukraine,4,PWR,AP1000,Planned,1100,,,
Ukraine,Zaporizhzhia,1,PWR,VVER-1000/V-320,Operational,950,1980,1985,
Ukraine,Zaporizhzhia,2,PWR,VVER-1000/V-320,Operational,950,1981,1986,
Ukraine,Zaporizhzhia,3,PWR,VVER-1000/V-320,Operational,950,1982,1987,
Ukraine,Zaporizhzhia,4,PWR,VVER-1000/V-320,Operational,950,1983,1988,
Ukraine,Zaporizhzhia,5,PWR,VVER-1000/V-320,Operational,950,1985,1989,
Ukraine,Zaporizhzhia,6,PWR,VVER-1000/V-320,Operational,950,1986,1996,
United Arab Emirates,Barakah,1,PWR,APR-1400,Operational,1345,2012,2021,
United Arab Emirates,Barakah,2,PWR,APR-1400,Operational,1345,2013,2022,
United Arab Emirates,Barakah,3,PWR,APR-1400,Operational,1345,2014,2023,
United Arab Emirates,Barakah,4,PWR,APR-1400,Under construction,1345,2015,,
United Kingdom,Berkeley,1,GCR,Magnox,Decommissioned,138,1957,1962,1989
United Kingdom,Berkeley,2,GCR,Magnox,Decommissioned,138,1957,1962,1988
United Kingdom,Bradwell,1,GCR,Magnox,Decommissioned,123,1957,1962,2002
United Kingdom,Bradwell,2,GCR,Magnox,Decommissioned,123,1957,1962,2002
United Kingdom,Bradwell B,1,PWR,Hualong One,Planned,1117,,,
United Kingdom,Bradwell B,2,PWR,Hualong One,Planned,1117,,,
United Kingdom,Calder Hall,1,GCR,Magnox,Shut down/in decommissioning,49,1953,1956,2003
United Kingdom,Calder Hall,2,GCR,Magnox,Shut down/in decommissioning,49,1953,1957,2003
United Kingdom,Calder Hall,3,GCR,Magnox,Shut down/in decommissioning,49,1955,1958,2003
United Kingdom,Calder Hall,4,GCR,Magnox,Shut down/in decommissioning,49,1955,1959,2003
United Kingdom,Chapelcross,1,GCR,Magnox,Shut down/in decommissioning,48,1955,1959,2004
United Kingdom,Chapelcross,2,GCR,Magnox,Shut down/in decommissioning,48,1955,1959,2004
United Kingdom,Chapelcross,3,GCR,Magnox,Shut down/in decommissioning,48,1955,1959,2004
United Kingdom,Chapelcross,4,GCR,Magnox,Shut down/in decommissioning,48,1955,1960,2004
United Kingdom,Dounreay,1,SFR,DFR,Shut down/in decommissioning,11,1955,1962,1977
United Kingdom,Dounreay,2,SFR,PFR,Shut down/in decommissioning,234,1966,1976,1994
United Kingdom,Dungeness A,A-1,GCR,Magnox,Shut down/in decommissioning,225,1960,1965,2006
United Kingdom,Dungeness A,A-2,GCR,Magnox,Shut down/in decommissioning,225,1960,1965,2006
United Kingdom,Dungeness B,B-1,GCR,AGR,Shut down,520,1965,1985,2021
United Kingdom,Dungeness B,B-2,GCR,AGR,Shut down,520,1965,1989,2021
United Kingdom,Hartlepool,1,GCR,AGR,Operational,595,1968,1989,
United Kingdom,Hartlepool,2,GCR,AGR,Operational,585,1968,1989,
United Kingdom,Heysham,A-1,GCR,AGR,Operational,585,1970,1989,
United Kingdom,Heysham,A-2,GCR,AGR,Operational,575,1970,1989,
United Kingdom,Heysham,B-1,GCR,AGR,Operational,610,1980,1989,
United Kingdom,Heysham,B-2,GCR,AGR,Operational,610,1980,1989,
United Kingdom,Hinkley Point A,1,GCR,Magnox,Shut down/in decommissioning,235,1957,1965,2000
United Kingdom,Hinkley Point A,2,GCR,Magnox,Shut down/in decommissioning,235,1957,1965,2000
United Kingdom,Hinkley Point B,1,GCR,AGR,Shut down/in decommissioning,435,1967,1978,2022
United Kingdom,Hinkley Point B,2,GCR,AGR,Shut down/in decommissioning,435,1967,1976,2022
United Kingdom,Hinkley Point C,1,PWR,EPR,Under construction,1600,2018,,
United Kingdom,Hinkley Point C,2,PWR,EPR,Under construction,1600,2019,,
United Kingdom,Hunterston A,1,GCR,Magnox,Shut down/in decommissioning,150,1957,1964,1990
United Kingdom,Hunterston A,2,GCR,Magnox,Shut down/in decommissioning,150,1957,1964,1989
United Kingdom,Hunterston B,1,GCR,AGR,Shut down,460,1967,1976,2021
United Kingdom,Hunterston B,2,GCR,AGR,Shut down,460,1967,1977,2022
United Kingdom,Moorside,1,PWR,EPR,Planned,1600,,,
United Kingdom,Moorside,2,PWR,EPR,Planned,1600,,,
United Kingdom,Oldbury,1,GCR,Magnox,Shut down/in decommissioning,217,1962,1967,2012
United Kingdom,Oldbury,2,GCR,Magnox,Shut down/in decommissioning,217,1962,1968,2011
United Kingdom,Sizewell A,1,GCR,Magnox,Shut down/in decommissioning,210,1961,1966,2006
United Kingdom,Sizewell A,2,GCR,Magnox,Shut down/in decommissioning,210,1961,1966,2006
United Kingdom,Sizewell B,1,PWR,WH SNUPPS,Operational,1191,1988,1995,
United Kingdom,Sizewell C,1,PWR,EPR,Planned,1600,,,
United Kingdom,Sizewell C,2,PWR,EPR,Planned,1600,,,
United Kingdom,Torness,1,GCR,AGR,Operational,595,1980,1988,
United Kingdom,Torness,2,GCR,AGR,Operational,595,1980,1989,
United Kingdom,Trawsfynydd,1,GCR,Magnox,Shut down/in decommissioning,195,1959,1965,1991
United Kingdom,Trawsfynydd,2,GCR,Magnox,Shut down/in decommissioning,195,1959,1965,1991
United Kingdom,Winfrith,1,SGHWR,SGHWR,Shut down/in decommissioning,92,1963,1968,1990
United Kingdom,Wylfa,1,GCR,Magnox,Shut down/in decommissioning,490,1963,1971,2015
United Kingdom,Wylfa,2,GCR,Magnox,Shut down/in decommissioning,490,1963,1972,2012
United States,Arkansas Nuclear One,1,PWR,B & W (DRY-Cont),Operational,836,1968,1974,
United States,Arkansas Nuclear One,2,PWR,CE (DRY),Operational,988,1968,1978,
United States,Beaver Valley,1,PWR,WH 3-loop (DRY),Operational,908,1970,1976,
United States,Beaver Valley,2,PWR,WH 3-loop (DRY),Operational,905,1974,1987,
United States,Big Rock Point,1,BWR,BWR-1,Dismantled,67,1960,1963,1997
United States,Braidwood,1,PWR,WH 4-loop (DRY),Operational,1194,1975,1988,
United States,Braidwood,2,PWR,WH 4-loop (DRY),Operational,1160,1975,1988,
United States,Browns Ferry,1,BWR,BWR-4 (WET),Operational,1200,1967,1974,
United States,Browns Ferry,2,BWR,BWR-4 (WET),Operational,1200,1967,1975,
United States,Browns Ferry,3,BWR,BWR-4 (WET),Operational,1210,1968,1977,
United States,Brunswick,1,BWR,BWR-4 (WET),Operational,938,1970,1977,
United States,Brunswick,2,BWR,BWR-4 (WET),Operational,932,1970,1975,
United States,Byron,1,PWR,WH 4-loop (DRY),Operational,1164,1975,1985,
United States,Byron,2,PWR,WH 4-loop (DRY),Operational,1136,1975,1987,
United States,Callaway,1,PWR,WH 4-loop (DRY),Operational,1215,1975,1984,
United States,Calvert Cliffs,1,PWR,CE 2-loop (DRY),Operational,877,1968,1977,
United States,Calvert Cliffs,2,PWR,CE 2-loop (DRY),Operational,855,1968,1977,
United States,Carbon Free Power Project,1,PWR,NuScale,Cancelled,77,,,
United States,Carbon Free Power Project,2,PWR,NuScale,Cancelled,77,,,
United States,Carbon Free Power Project,3,PWR,NuScale,Cancelled,77,,,
United States,Carbon Free Power Project,4,PWR,NuScale,Cancelled,77,,,
United States,Carbon Free Power Project,5,PWR,NuScale,Cancelled,77,,,
United States,Carbon Free Power Project,6,PWR,NuScale,Cancelled,77,,,
United States,Catawba,1,PWR,WH 4-loop (ICECOND),Operational,1160,1974,1985,
United States,Catawba,2,PWR,WH 4-loop (ICECOND),Operational,1150,1974,1986,
United States,Clinch River,1,BWR,BWRX-300,Planned,180,,,
United States,Clinton,1,BWR,BWR-6 (WET),Operational,1062,1975,1987,
United States,Columbia,1,BWR,BWR-5 (WET),Operational,1131,1972,1984,
United States,Comanche Peak,1,PWR,WH 4-loop (DRY),Operational,1205,1974,1990,
United States,Comanche Peak,2,PWR,WH 4-loop (DRY),Operational,1195,1974,1993,
United States,Connecticut Yankee,1,PWR,WH (DRY),Dismantled,582,1964,1968,1996
United States,Cooper,1,BWR,BWR-4 (WET),Operational,769,1968,1974,
United States,Crystal River 3,1,PWR,B & W (DRY),Shut down/in decommissioning,860,1968,1977,2013
United States,Davis-Besse,1,PWR,B & W (DRY),Operational,894,1970,1978,
United States,Diablo Canyon,1,PWR,WH 4-Loop (DRY),Operational,1138,1968,1985,
United States,Diablo Canyon,2,PWR,WH 4-Loop (DRY),Operational,1118,1970,1986,
United States,Donald C. Cook,1,PWR,WH 4-Loop (ICECOND),Operational,1020,1969,1975,
United States,Donald C. Cook,2,PWR,WH 4-Loop (ICECOND),Operational,1090,1969,1978,
United States,Dresden,1,BWR,BWR-1,Shut down,197,1956,1960,1978
United States,Dresden,2,BWR,BWR-3 (WET),Operational,894,1966,1970,
United States,Dresden,3,BWR,BWR-3 (WET),Operational,879,1966,1971,
United States,Duane Arnold,1,BWR,BWR-4 (WET),Shut down,601,1970,1975,2020
United States,Edwin I. Hatch,1,BWR,BWR-4 (WET),Operational,924,1968,1975,
United States,Edwin I. Hatch,2,BWR,BWR-4 (WET),Operational,924,1972,1979,
United States,Elk River,1,BWR,,Dismantled,22,1959,1964,1968
United States,Fermi,1,FBR,Prototype,Shut down,61,1956,1966,1972
United States,Fermi,2,BWR,BWR-4 (WET),Operational,1115,1972,1988,
United States,Fort Calhoun,1,PWR,CE 2-loop (WET),Shut down,482,1968,1973,2016
United States,Fort St. Vrain,1,HTGR,General Atomics,Shut down,330,1968,1979,1989
United States,Ginna,1,PWR,WH 2-loop (DRY),Operational,560,1966,1970,
United States,Grand Gulf,1,BWR,BWR-6 (WET),Operational,1401,1974,1985,
United States,H. B. Robinson,1,PWR,WH 3-loop (DRY),Operational,735,1967,1971,
United States,Hallam,1,SGR,Atomics International,Dismantled,75,1959,1963,1969
United States,Hartsville,A1,BWR,BWR-6,Unfinished,1285,1975,,1984
United States,Hartsville,A2,BWR,BWR-6,Unfinished,1285,1975,,1984
United States,Hartsville,B1,BWR,BWR-6,Unfinished,1285,1975,,1983
United States,Hartsville,B2,BWR,BWR-6,Unfinished,1285,1975,,1983
United States,Hope Creek,1,BWR,BWR-4 (WET),Operational,1172,1976,1986,
United States,Humboldt Bay,1,BWR,BWR-1,Dismantled,63,1960,1963,1976
United States,Indian Point,1,PWR,,Shut down,257,1956,1962,1974
United States,Indian Point,2,PWR,WH 4-loop (DRY),Shut down,998,1966,1974,2020
United States,Indian Point,3,PWR,WH 4-loop (DRY),Shut down,1030,1968,1976,2021
United States,James A. FitzPatrick,1,BWR,BWR-4 (WET),Operational,813,1968,1975,
United States,Joseph M. Farley,1,PWR,WH 3-Loop (DRY),Operational,874,1970,1977,
United States,Joseph M. Farley,2,PWR,WH 3-Loop (DRY),Operational,883,1970,1981,
United States,Kemmerer,1,SFR,Natrium,Planned,345,,,
United States,Kewaunee,1,PWR,WH 2-loop (DRY),Shut down,566,1968,1974,2013
United States,La Crosse,1,BWR,BWR-1,Dismantled,48,1963,1969,1987
United States,LaSalle County,1,BWR,BWR-5 (WET),Operational,1137,1973,1984,
United States,LaSalle County,2,BWR,BWR-5 (WET),Operational,1140,1973,1984,
United States,Limerick,1,BWR,BWR-5 (WET),Operational,1134,1974,1986,
United States,Limerick,2,BWR,BWR-5 (WET),Operational,1134,1974,1990,
United States,Maine Yankee,1,PWR,WH (DRY),Dismantled,860,1968,1972,1997
United States,Marble Hill,1,PWR,WH (DRY),Unfinished,1130,1977,,1984
United States,McGuire,1,PWR,WH 4-Loop (ICECOND),Operational,1158,1971,1981,
United States,McGuire,2,PWR,WH 4-Loop (ICECOND),Operational,1158,1971,1984,
United States,Millstone,1,BWR,BWR-3 (WET),Shut down,641,1966,1970,1998
United States,Millstone,2,PWR,CE 2-loop (DRY),Operational,869,1969,1975,
United States,Millstone,3,PWR,WH 4-Loop (DRY),Operational,1210,1974,1986,
United States,Monticello,1,BWR,BWR-3 (WET),Operational,628,1967,1971,
United States,Nine Mile Point,1,BWR,BWR-2 (WET),Operational,613,1965,1969,
United States,Nine Mile Point,2,BWR,BWR-5 (WET),Operational,1277,1975,1988,
United States,North Anna,1,PWR,WH 3-Loop (DRY),Operational,948,1971,1978,
United States,North Anna,2,PWR,WH 3-Loop (DRY),Operational,944,1971,1980,
United States,Oconee,1,PWR,B & W (DRY),Operational,847,1967,1973,
United States,Oconee,2,PWR,B & W (DRY),Operational,848,1967,1974,
United States,Oconee,3,PWR,B & W (DRY),Operational,859,1967,1974,
United States,Oyster Creek,1,BWR,BWR-2 (WET),Shut down,619,1964,1969,2018
United States,Palisades,1,PWR,CE 2-loop (DRY),Shut down,805,1967,1971,2022
United States,Palo Verde,1,PWR,CE80 2-loop (DRY),Operational,1311,1976,1986,
United States,Palo Verde,2,PWR,CE80 2-loop (DRY),Operational,1314,1976,1986,
United States,Palo Verde,3,PWR,CE80 2-loop (DRY),Operational,1312,1976,1988,
United States,Parr,1,PHWR,CVTR,Dismantled,17,1960,1963,1967
United States,Pathfinder,1,BWR,BWR-1,Dismantled,59,1959,1966,1967
United States,Peach Bottom,1,GCR,Prototype,Shut down,40,1962,1966,1974
United States,Peach Bottom,2,BWR,BWR-4 (WET),Operational,1300,1968,1974,
United States,Peach Bottom,3,BWR,BWR-4 (WET),Operational,1331,1968,1974,
United States,Perry,1,BWR,BWR-6 (WET),Operational,1240,1974,1987,
United States,Pilgrim,1,BWR,BWR-3 (WET),Shut down,677,1968,1972,2019
United States,Piqua,1,OCR,Atomics International,Decommissioned,12,1960,1963,1966
United States,Point Beach,1,PWR,WH 2-loop (DRY),Operational,591,1967,1970,
United States,Point Beach,2,PWR,WH 2-loop (DRY),Operational,591,1968,1972,
United States,Prairie Island,1,PWR,WH 2-loop (DRY),Operational,522,1968,1973,
United States,Prairie Island,2,PWR,WH 2-loop (DRY),Operational,519,1969,1974,
United States,Quad Cities,1,BWR,BWR-4 (WET),Operational,908,1967,1973,
United States,Quad Cities,2,BWR,BWR-4 (WET),Operational,911,1967,1973,
United States,Rancho Seco,1,PWR,WH (DRY),Decommissioned,873,1969,1975,1989
United States,River Bend,1,BWR,BWR-6 (WET),Operational,967,1977,1986,
United States,Salem,1,PWR,WH 4-loop (DRY),Operational,1169,1968,1977,
United States,Salem,2,PWR,WH 4-loop (DRY),Operational,1158,1968,1981,
United States,San Onofre,1,PWR,WH (DRY),Dismantled,436,1964,1968,1992
United States,San Onofre,2,PWR,CE (DRY),Shut down/in decommissioning,1070,1974,1983,2013
United States,San Onofre,3,PWR,CE (DRY),Shut down/in decommissioning,1180,1974,1984,2013
United States,Saxton,1,PWR,,Decommissioned,3,1960,1961,1972
United States,Seabrook Station,1,PWR,WH 4-Loop (DRY),Operational,1246,1976,1990,
United States,Sequoyah,1,PWR,WH 4-Loop (ICECOND),Operational,1152,1970,1981,
United States,Sequoyah,2,PWR,WH 4-Loop (ICECOND),Operational,1139,1970,1982,
United States,Shearon Harris,1,PWR,WH 3-Loop (DRY),Operational,964,1978,1987,
United States,Shippingport,1,PWR,WH,Dismantled,60,1954,1958,1989
United States,Shoreham,1,BWR,GE,Shut down,820,1972,1986,1989
United States,SRE,1,FBR,,Decommissioned,6.5,1954,1957,1964
United States,South Texas,1,PWR,WH 4-loop (DRY),Operational,1280,1975,1988,
United States,South Texas,2,PWR,WH 4-loop (DRY),Operational,1280,1975,1989,
United States,St. Lucie,1,PWR,CE (DRY),Operational,981,1970,1976,
United States,St. Lucie,2,PWR,CE (DRY),Operational,987,1977,1983,
United States,Surry,1,PWR,WH 3-loop (DRY),Operational,838,1968,1972,
United States,Surry,2,PWR,WH 3-loop (DRY),Operational,838,1968,1973,
United States,Susquehanna,1,BWR,BWR-5 (WET),Operational,1257,1973,1982,
United States,Susquehanna,2,BWR,BWR-5 (WET),Operational,1257,1973,1984,
United States,Three Mile Island,1,PWR,B & W (DRY),Shut down,819,1968,1974,2019
United States,Three Mile Island,2,PWR,B & W (DRY),Core melt,880,1969,1978,1979
United States,Trojan,1,PWR,WH (DRY),Dismantled,1095,1970,1976,1992
United States,Turkey Point,1,PWR,WH 3-loop (DRY),Operational,837,1967,1972,
United States,Turkey Point,2,PWR,WH 3-loop (DRY),Operational,821,1967,1973,
United States,Turkey Point,3,PWR,AP1000,Planned,1100,,,
United States,Turkey Point,4,PWR,AP1000,Planned,1100,,,
United States,Vallecitos,1,BWR,BWR-1,Shut down,25,1956,1957,1963
United States,Vermont Yankee,1,BWR,BWR-4 (WET),Shut down,605,1967,1972,2014
United States,Virgil C. Summer,1,PWR,WH 3-Loop (DRY),Operational,1000,1973,1984,
United States,Vogtle,1,PWR,WH 4-Loop (DRY),Operational,1150,1976,1987,
United States,Vogtle,2,PWR,WH 4-Loop (DRY),Operational,1152,1976,1989,
United States,Vogtle,3,PWR,AP1000,Operational,1117,2013,2023,
United States,Vogtle,4,PWR,AP1000,Under construction,1117,2013,,
United States,Waterford,1,PWR,CE 2-loop (DRY),Operational,1168,1974,1985,
United States,Watts Bar,1,PWR,WH 4-Loop (ICECOND),Operational,1157,1973,1996,
United States,Watts Bar,2,PWR,WH 4-Loop (ICECOND),Operational,1164,1973,2016,
United States,Wolf Creek,1,PWR,WH 4-Loop (DRY),Operational,1200,1977,1985,
United States,Yankee Rowe,1,PWR,WH (DRY),Dismantled,167,1957,1961,1991
United States,Zion,1,PWR,WH (DRY),Dismantled,1040,1968,1973,1998
United States,Zion,2,PWR,WH (DRY),Dismantled,1040,1968,1974,1998
Uzbekistan,Plant in the Jizzakh Region,1,PWR,VVER-1200,Planned,1200,,,
Uzbekistan,,2,PWR,VVER-1200,Planned,1200,,,
